id,NAME,DESCRIPTION,CATEGORY,EFFECT,VISUAL_DESCRIPTION,CLASS,IMAGES,DEFAULT_IMAGE,VALID,PIXEL_IMAGES,DEFAULT_PIXEL_IMAGE,ATK,DEF,CREATED_AT,UPDATED_AT
6,Amulet of Dexterity of the Wind,"This amulet grants its wearer increased agility and speed, allowing them to move with the wind.",defense_item,Grants increased agility and speed.,The amulet is made of a light blue material and is shaped like a teardrop. It has a small wind symbol etched into the center and is surrounded by a swirling pattern of silver and gold.,Accessory,,,1,,,,,2023-10-31T08:02:35.877268,
7,Amulet of Electric Resistance,This amulet grants its wearer resistance to electric-based attacks.,defense_item,Grants resistance to electric-based attacks.,The amulet is made of a dark metal and has a lightning bolt symbol etched into its surface. It is strung on a leather cord and has a bright blue gemstone set in the center.,Accessory,,,1,,,,,2023-10-31T08:02:35.898736,
8,Amulet of Fire Resistance,This amulet grants the wearer resistance to fire damage.,defense_item,Grants resistance to fire damage.,"A small, round amulet made of a deep red stone, with a flame-shaped symbol etched into its surface.",Accessory,,,1,,,,,2023-10-31T08:02:35.925894,
9,Amulet of Intelligent Insight,This amulet grants its wearer the ability to see beyond the veil of reality and gain insight into the truth of any situation.,defense_item,"The wearer of the amulet can gain insight into any situation, allowing them to make better decisions.","The amulet is a small golden disc with a single eye in the center, surrounded by intricate carvings of ancient symbols.",Artifact,,,1,,,,,2023-10-31T08:02:35.954987,
10,Amulet of Life Saving,This amulet is said to be blessed by the gods and can save the wearer from death.,magic_item,The wearer of the amulet is immune to death.,The amulet is made of a golden metal and has a large ruby in the center. It is surrounded by intricate carvings of various gods and goddesses.,Magical Artifact,,,1,,,,,2023-10-31T08:02:36.017672,
11,Amulet of Protection of the Ancients,This ancient amulet was crafted by the gods to protect its wearer from harm.,defense_item,The wearer of this amulet is immune to all physical damage.,"The amulet is a small, circular piece of gold with a large, red gemstone in the center. The gemstone is surrounded by intricate carvings of ancient symbols.",Artifact,,,1,,,,,2023-10-31T08:02:36.056573,
12,Amulet of Protection of the Ancients,This ancient amulet was crafted by the gods to protect its wearer from harm.,defense_item,Grants the wearer protection from physical and magical attacks.,"The amulet is made of a deep blue stone, with intricate gold designs etched into its surface. It hangs from a golden chain, and is said to be imbued with powerful magic.",Protection,,,1,,,,,2023-10-31T08:02:36.079377,
13,Amulet of Regeneration,This amulet grants its wearer the power to regenerate their health and mana.,defense_item,Regenerates health and mana over time.,"A golden amulet with a glowing green gem in the center, surrounded by intricate carvings of vines and leaves.",Neutral,,,1,,,,,2023-10-31T08:02:36.098278,
14,Amulet of Spell Resistance,This amulet grants its wearer resistance to magical spells.,magic_item,Grants resistance to magical spells.,"A small, silver amulet with a glowing blue gem in the center.",Accessory,,,1,,,,,2023-10-31T08:02:36.119900,
15,Amulet of the Moon's Shadow,"This amulet is said to be blessed by the gods of the night, granting its wearer the power to manipulate the shadows of the moon.",defense_item,"The wearer of this amulet can cast spells that manipulate shadows, allowing them to create illusions, hide in the shadows, and even control the shadows of the moon.","The amulet is made of a dark metal, with a crescent moon carved into its surface. It is surrounded by a ring of silver stars, and a single black gemstone is set in the center of the crescent moon.",Artifact,,,1,,,,,2023-10-31T08:02:36.140197,
16,Amulet of the Moon's Shadow,"This amulet is said to be blessed by the gods of the night, granting its wearer the power to manipulate the shadows of the moon.",defense_item,"The wearer of this amulet can cast spells that manipulate shadows, allowing them to create illusions, hide in darkness, and even control the shadows of their enemies.","The amulet is a silver crescent moon with a black gemstone in the center. The gemstone is said to be a fragment of the moon itself, and it glows with a faint blue light.",Artifact,,,1,,,,,2023-10-31T08:02:36.159141,
